scenario,algorithm,ndcg@5,precision@5,recall@5,train_time,test_time,params,fold_results
scenario1,ItemKNN,0.17831414257932293,0.4169673359304765,0.09645959582409443,1.0474406242370606,3.449558973312378,"{'algo': 'ItemItem', 'center': False, 'min_nbrs': 3, 'min_sim': 0.007512936111707105, 'nnbrs': 169, 'use_ratings': 'True'}","{'fold_1': {'ndcg': 0.17552286288587574, 'precision': 0.43098591549295784, 'recall': 0.09043478842205006, 'train_time': 1.0452699661254883, 'test_time': 3.288417100906372}, 'fold_2': {'ndcg': 0.17603735888254354, 'precision': 0.4070422535211268, 'recall': 0.09575658051835353, 'train_time': 1.04026198387146, 'test_time': 3.65030574798584}, 'fold_3': {'ndcg': 0.1719597061454295, 'precision': 0.39858156028368796, 'recall': 0.0947107656687641, 'train_time': 1.0633389949798584, 'test_time': 3.8439009189605713}, 'fold_4': {'ndcg': 0.1926979697100072, 'precision': 0.42127659574468085, 'recall': 0.10667348654958636, 'train_time': 1.0389211177825928, 'test_time': 2.913606882095337}, 'fold_5': {'ndcg': 0.17535281527275876, 'precision': 0.4269503546099291, 'recall': 0.09472235796171806, 'train_time': 1.0494110584259033, 'test_time': 3.5515642166137695}}"
scenario1,UserKNN,0.2330799932342842,0.5190190790130856,0.1349994409910849,0.01756606101989746,4.143600940704346,"{'algo': 'UserUser', 'center': False, 'min_nbrs': 19, 'min_sim': 0.005578452614661467, 'nnbrs': 22, 'use_ratings': 'True'}","{'fold_1': {'ndcg': 0.22637370490572953, 'precision': 0.5408450704225353, 'recall': 0.13265585024012977, 'train_time': 0.017701148986816406, 'test_time': 4.134613037109375}, 'fold_2': {'ndcg': 0.25433061042129973, 'precision': 0.5507042253521126, 'recall': 0.14252667458417037, 'train_time': 0.017498254776000977, 'test_time': 3.9418509006500244}, 'fold_3': {'ndcg': 0.22560849358151625, 'precision': 0.47943262411347515, 'recall': 0.1354896239755817, 'train_time': 0.016696691513061523, 'test_time': 3.944110870361328}, 'fold_4': {'ndcg': 0.23748406667522187, 'precision': 0.5078014184397163, 'recall': 0.1386886417035992, 'train_time': 0.01827406883239746, 'test_time': 4.5413689613342285}, 'fold_5': {'ndcg': 0.22160309058765365, 'precision': 0.5163120567375886, 'recall': 0.12563641445194337, 'train_time': 0.017660140991210938, 'test_time': 4.1560609340667725}}"
scenario1,SVD,0.02558645273751258,0.023480171811007894,0.023985115774325418,0.7933686733245849,3.5250627040863036,"{'algo': 'FunkSVD', 'bias': False, 'damping': 3.3954075450564734, 'features': 174, 'lrate': 0.0001775055395740074, 'reg': 0.08942594219254069}","{'fold_1': {'ndcg': 0.024050648443452637, 'precision': 0.026760563380281696, 'recall': 0.01762606661082617, 'train_time': 0.07826709747314453, 'test_time': 2.9560227394104004}, 'fold_2': {'ndcg': 0.038562967950454705, 'precision': 0.01971830985915493, 'recall': 0.04325111339499829, 'train_time': 0.04948616027832031, 'test_time': 3.1535279750823975}, 'fold_3': {'ndcg': 0.01290372743633592, 'precision': 0.03687943262411348, 'recall': 0.006600145672419257, 'train_time': 0.0617070198059082, 'test_time': 2.87447190284729}, 'fold_4': {'ndcg': 0.023604821504485868, 'precision': 0.015602836879432626, 'recall': 0.026258285249513322, 'train_time': 0.04967021942138672, 'test_time': 3.161247968673706}, 'fold_5': {'ndcg': 0.028810098352833793, 'precision': 0.01843971631205674, 'recall': 0.026189967943870057, 'train_time': 3.727712869644165, 'test_time': 5.480042934417725}}"
scenario2,ItemKNN,0.14026518007127997,0.22399857588226454,0.09944591575944994,0.5348525047302246,3.194660997390747,"{'algo': 'ItemItem', 'center': False, 'min_nbrs': 27, 'min_sim': 0.0055988680782354866, 'nnbrs': 8192, 'use_ratings': 'True'}","{'fold_1': {'ndcg': 0.13279187875471188, 'precision': 0.21830985915492956, 'recall': 0.1013011112322529, 'train_time': 0.531062126159668, 'test_time': 3.086656093597412}, 'fold_2': {'ndcg': 0.15560373076608205, 'precision': 0.24242424242424243, 'recall': 0.11077969836101927, 'train_time': 0.5300700664520264, 'test_time': 2.939356803894043}, 'fold_3': {'ndcg': 0.13229302697322168, 'precision': 0.2278688524590164, 'recall': 0.08910680366858685, 'train_time': 0.5392551422119141, 'test_time': 2.982692003250122}, 'fold_4': {'ndcg': 0.13951774568546804, 'precision': 0.19701492537313434, 'recall': 0.09777487864923022, 'train_time': 0.5369830131530762, 'test_time': 3.3315858840942383}, 'fold_5': {'ndcg': 0.1411195181769162, 'precision': 0.234375, 'recall': 0.09826708688616045, 'train_time': 0.5368921756744385, 'test_time': 3.63301420211792}}"
scenario2,UserKNN,0.1543738259459695,0.2304664868644491,0.11258841757210677,0.009479236602783204,4.261938953399659,"{'algo': 'UserUser', 'center': False, 'min_nbrs': 1, 'min_sim': 0.007628283683451807, 'nnbrs': 45, 'use_ratings': 'True'}","{'fold_1': {'ndcg': 0.16170637738853977, 'precision': 0.24366197183098587, 'recall': 0.12654709754292862, 'train_time': 0.008787393569946289, 'test_time': 4.2656309604644775}, 'fold_2': {'ndcg': 0.1823047181819278, 'precision': 0.27746478873239433, 'recall': 0.12707831047548823, 'train_time': 0.009963035583496094, 'test_time': 4.172700881958008}, 'fold_3': {'ndcg': 0.15543609097593405, 'precision': 0.2297872340425532, 'recall': 0.11326203394183838, 'train_time': 0.009158849716186523, 'test_time': 3.953099012374878}, 'fold_4': {'ndcg': 0.15557037276046237, 'precision': 0.225531914893617, 'recall': 0.1068197854895978, 'train_time': 0.009050846099853516, 'test_time': 4.852787971496582}, 'fold_5': {'ndcg': 0.11685157042298348, 'precision': 0.17588652482269504, 'recall': 0.08923486041068092, 'train_time': 0.010436058044433594, 'test_time': 4.065475940704346}}"
scenario2,SVD,0.013385552530088602,0.00820697233043652,0.015006871893196086,2.543295669555664,5.921769428253174,"{'algo': 'FunkSVD', 'bias': False, 'damping': 0.017327782657687224, 'features': 59, 'lrate': 0.0008317771504723387, 'reg': 0.047661247569827994}","{'fold_1': {'ndcg': 0.01539990528539895, 'precision': 0.007042253521126761, 'recall': 0.01610696517412935, 'train_time': 0.7626299858093262, 'test_time': 6.080627918243408}, 'fold_2': {'ndcg': 0.0107587585937054, 'precision': 0.007042253521126761, 'recall': 0.009343434343434345, 'train_time': 1.6775658130645752, 'test_time': 6.375002145767212}, 'fold_3': {'ndcg': 0.006765747788369724, 'precision': 0.0070921985815602835, 'recall': 0.008144355644355644, 'train_time': 3.1195619106292725, 'test_time': 5.755789041519165}, 'fold_4': {'ndcg': 0.012303658649273743, 'precision': 0.009929078014184398, 'recall': 0.017248062015503874, 'train_time': 6.474883794784546, 'test_time': 5.924813985824585}, 'fold_5': {'ndcg': 0.021699692333695196, 'precision': 0.009929078014184398, 'recall': 0.024191542288557213, 'train_time': 0.6818368434906006, 'test_time': 5.472614049911499}}"
scenario3,ItemKNN,0.1037136250833143,0.15397061071602577,0.08662169006931063,0.24479918479919432,3.016941452026367,"{'algo': 'ItemItem', 'center': False, 'min_nbrs': 60, 'min_sim': 0.006399559492800642, 'nnbrs': 7148, 'use_ratings': 'True'}","{'fold_1': {'ndcg': 0.12419393538418921, 'precision': 0.15217391304347827, 'recall': 0.10049654728553811, 'train_time': 0.23633503913879395, 'test_time': 2.9364140033721924}, 'fold_2': {'ndcg': 0.09432545117811077, 'precision': 0.09859154929577464, 'recall': 0.08437519270852605, 'train_time': 0.2577340602874756, 'test_time': 3.2669942378997803}, 'fold_3': {'ndcg': 0.05513209565589773, 'precision': 0.12000000000000002, 'recall': 0.04107142857142857, 'train_time': 0.2444288730621338, 'test_time': 2.9879820346832275}, 'fold_4': {'ndcg': 0.10805918975412056, 'precision': 0.12408759124087591, 'recall': 0.09647128827456697, 'train_time': 0.24086904525756836, 'test_time': 3.0064218044281006}, 'fold_5': {'ndcg': 0.1368574534442532, 'precision': 0.275, 'recall': 0.1106939935064935, 'train_time': 0.24462890625, 'test_time': 2.886895179748535}}"
scenario3,UserKNN,0.11324572334618943,0.12110478473678951,0.10214102281739798,0.006113767623901367,4.2412614822387695,"{'algo': 'UserUser', 'center': False, 'min_nbrs': 3, 'min_sim': 0.00314778831778563, 'nnbrs': 6, 'use_ratings': 'True'}","{'fold_1': {'ndcg': 0.1162133447141589, 'precision': 0.128169014084507, 'recall': 0.10218027586448639, 'train_time': 0.00592803955078125, 'test_time': 3.8873281478881836}, 'fold_2': {'ndcg': 0.0974314423853024, 'precision': 0.09295774647887325, 'recall': 0.08919279645086096, 'train_time': 0.007259845733642578, 'test_time': 5.410565137863159}, 'fold_3': {'ndcg': 0.12249203952313543, 'precision': 0.13900709219858154, 'recall': 0.11429833442701089, 'train_time': 0.005684852600097656, 'test_time': 4.028663158416748}, 'fold_4': {'ndcg': 0.13111935104098524, 'precision': 0.1333333333333333, 'recall': 0.12022468920228024, 'train_time': 0.005811929702758789, 'test_time': 3.9364428520202637}, 'fold_5': {'ndcg': 0.09897243906736514, 'precision': 0.11205673758865249, 'recall': 0.08480901814235148, 'train_time': 0.0058841705322265625, 'test_time': 3.943308115005493}}"
scenario3,SVD,0.01140820954120041,0.008478673459194886,0.010124993420472217,0.3993692398071289,4.84229302406311,"{'algo': 'FunkSVD', 'bias': True, 'damping': 60.00077891125134, 'features': 2, 'lrate': 0.0014869564074276207, 'reg': 0.050289209190156635}","{'fold_1': {'ndcg': 0.021074883080114966, 'precision': 0.011267605633802818, 'recall': 0.020649509803921568, 'train_time': 1.078681230545044, 'test_time': 6.475214719772339}, 'fold_2': {'ndcg': 0.012385348184892155, 'precision': 0.011267605633802818, 'recall': 0.010929896976408605, 'train_time': 0.13320302963256836, 'test_time': 5.8398518562316895}, 'fold_3': {'ndcg': 0.0058548158255088065, 'precision': 0.0028368794326241137, 'recall': 0.005147058823529412, 'train_time': 0.020955801010131836, 'test_time': 2.9268343448638916}, 'fold_4': {'ndcg': 0.003565299818979943, 'precision': 0.004255319148936171, 'recall': 0.002952380952380952, 'train_time': 0.7444601058959961, 'test_time': 5.79507303237915}, 'fold_5': {'ndcg': 0.014160700796506177, 'precision': 0.012765957446808512, 'recall': 0.010946120546120547, 'train_time': 0.019546031951904297, 'test_time': 3.1744911670684814}}"
scenario4,ItemKNN,0.019786355029313574,0.016363929855455282,0.01875949975949976,0.02481842041015625,2.9912572383880613,"{'algo': 'ItemItem', 'center': False, 'min_nbrs': 17, 'min_sim': 0.0003922310279074108, 'nnbrs': 83, 'use_ratings': 'True'}","{'fold_1': {'ndcg': 0.044973968072612225, 'precision': 0.03636363636363637, 'recall': 0.03428571428571429, 'train_time': 0.02457904815673828, 'test_time': 3.121640920639038}, 'fold_2': {'ndcg': 0.026881384864897963, 'precision': 0.022857142857142857, 'recall': 0.028030303030303027, 'train_time': 0.023800134658813477, 'test_time': 3.032027244567871}, 'fold_3': {'ndcg': 0.027076422209057677, 'precision': 0.02259887005649718, 'recall': 0.031481481481481485, 'train_time': 0.025098800659179688, 'test_time': 2.886608123779297}, 'fold_4': {'ndcg': 0.0, 'precision': 0.0, 'recall': 0.0, 'train_time': 0.024897098541259766, 'test_time': 2.8688859939575195}, 'fold_5': {'ndcg': 0.0, 'precision': 0.0, 'recall': 0.0, 'train_time': 0.02571702003479004, 'test_time': 3.047123908996582}}"
